fecha,mesa_principal,total_invitados,columna,fila,personas,adultos,ninos,nombre_mesa,color,pantalla,mesa_pastel,dulces,cocina,barra,area_fotos,animador,menu_infantil
03/07/26,6,166,5,1,10,10,0,amigos trabajo,blue,no,no,no,no,no,si,no,no
03/07/26,6,166,2,2,10,10,0,abuela,red,no,no,no,no,no,si,no,no
03/07/26,6,166,5,2,10,10,0,amigos trabajo,blue,no,no,no,no,no,si,no,no
03/07/26,6,166,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,3,3,10,10,0,muñeca,pink,no,no,no,no,no,si,no,no
03/07/26,6,166,4,3,10,10,0,padrino botella,yellow,no,no,no,no,no,si,no,no
03/07/26,6,166,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,4,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,2,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,3,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,4,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,5,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,2,1,12,12,0,padrino,green,no,no,no,no,no,si,no,no
03/14/26,2,180,5,1,10,10,0,anillos,red,no,no,no,no,no,si,no,no
03/14/26,2,180,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,2,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,5,2,10,10,0,anillos,red,no,no,no,no,no,si,no,no
03/14/26,2,180,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,3,3,10,10,0,pastel,pink,no,no,no,no,no,si,no,no
03/14/26,2,180,4,3,10,10,0,pastel,pink,no,no,no,no,no,si,no,no
03/14/26,2,180,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,2,4,11,11,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,4,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,5,4,11,11,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,3,5,12,12,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,4,5,12,12,0,,lightgray,no,no,no,no,no,si,no,no
03/14/26,2,180,5,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,2,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,5,1,12,12,0,pastel,pink,no,no,no,no,no,si,no,no
03/21/26,8,158,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,1,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,2,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,5,2,11,11,0,pastel,pink,no,no,no,no,no,si,no,no
03/21/26,8,158,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,3,3,10,10,0,brindis,blue,no,no,no,no,no,si,no,no
03/21/26,8,158,4,3,10,10,0,botellas,yellow,no,no,no,no,no,si,no,no
03/21/26,8,158,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,2,4,9,9,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,3,4,9,9,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,4,4,9,9,0,,lightgray,no,no,no,no,no,si,no,no
03/21/26,8,158,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,2,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,5,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,1,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,2,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,5,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,3,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,4,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,4,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/28/26,2,152,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,2,1,10,10,0,mama,#22C55E,no,no,no,no,no,si,no,no
06/12/26,2,200,5,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,1,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,2,2,10,10,0,papa,#22C55E,no,no,no,no,no,si,no,no
06/12/26,2,200,5,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,6,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,1,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,6,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,1,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,3,4,10,10,0,edu,#3B82F6,no,no,no,no,no,si,no,no
06/12/26,2,200,4,4,10,10,0,alfa,#3B82F6,no,no,no,no,no,si,no,no
06/12/26,2,200,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,6,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/12/26,2,200,3,5,10,10,0,niños,#F59E0B,no,no,no,no,no,si,no,no
06/12/26,2,200,4,5,8,8,0,niños,#F59E0B,no,no,no,no,no,si,no,no
06/19/26,5,150,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,2,1,12,12,0,mama,#22C55E,no,no,no,no,no,si,no,no
06/19/26,5,150,5,1,12,12,0,papa,#22C55E,no,no,no,no,no,si,no,no
06/19/26,5,150,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,1,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,2,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,5,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,6,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,3,4,11,11,0,armando,#3B82F6,no,no,no,no,no,si,no,no
06/19/26,5,150,4,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/19/26,5,150,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
06/26/26,2,200,1,1,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,2,1,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,5,1,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,6,1,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,1,2,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,2,2,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,5,2,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,6,2,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,1,3,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,2,3,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,5,3,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,6,3,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,1,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,2,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,3,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,4,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,5,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,6,4,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,3,5,10,10,0,,lightgray,si,si,no,si,no,si,no,no
06/26/26,2,200,4,5,8,8,0,,lightgray,si,si,no,si,no,si,no,no
07/11/26,5,150,1,1,10,10,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,2,1,10,10,0,mama,#22C55E,si,si,si,si,si,si,si,no
07/11/26,5,150,5,1,10,10,0,papa,#22C55E,si,si,si,si,si,si,si,no
07/11/26,5,150,6,1,11,11,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,2,2,10,10,0,mama,#22C55E,si,si,si,si,si,si,si,no
07/11/26,5,150,5,2,10,10,0,papa,#22C55E,si,si,si,si,si,si,si,no
07/11/26,5,150,2,3,10,10,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,3,3,10,10,0,eleuterio,#3B82F6,si,si,si,si,si,si,si,no
07/11/26,5,150,4,3,10,10,0,fabiola,#3B82F6,si,si,si,si,si,si,si,no
07/11/26,5,150,5,3,10,10,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,2,4,11,11,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,3,4,11,11,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,4,4,11,11,0,,lightgray,si,si,si,si,si,si,si,no
07/11/26,5,150,5,4,11,11,0,,lightgray,si,si,si,si,si,si,si,no
07/18/26,4,100,2,1,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,5,1,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,2,2,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,5,2,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,2,3,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,3,3,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,4,3,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,5,3,10,10,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,3,4,6,6,0,,lightgray,no,si,no,si,si,si,no,si
07/18/26,4,100,5,4,10,10,0,Ninos,#F59E0B,no,si,no,si,si,si,no,si
